Wine,Type/Vineyard,Year,Location,Variety
A,Heritage Vineyards Chardonnay,2010,New Jersey,White
B,Unionville Vineyards Pheasant Hill Single Vineyard Chardonnay,2010,New Jersey,White
C,Domaine Leflaive Puligny-Montrachet,2009,France,White
D,Joseph Drouhin Le Clos des Mouches Premier Cru,2006,France,White
E,Silver Decoy Winery Black Feather Chardonnay,2010,New Jersey,White
F,Bellview Winery Chardonnay,2010,New Jersey,White
G,Ventimiglia Chardonnay,2010,New Jersey,White
H,Domaine Jean Latour-Labille Meursault-Charmes Premier Cru,2008,France,White
I,Amalthea Cellars Europa VI Chardonnay,2008,New Jersey,White
J,Domaine Marc-Antonin Blain Grand Cru Batard-Montrachet,2009,France,White
K,Chateau Montrose,2004,France,Red
L,Chateau Mouton Rothschild,2004,France,Red
M,Silver Decoy Winery Cabernet Franc,2008,New Jersey,Red
N,Heritage Vineyards Estate BDX,2010,New Jersey,Red
O,Bellview Winery Lumiere,2010,New Jersey,Red
P,Tomasello Winery Oak Reserve Cabernet Sauvignon,2007,New Jersey,Red
Q,Chateau Leoville-Las Cases ,2004,France,Red
R,Amalthea Europa VI,2008,New Jersey,Red
S,Four JGs Vineyard Cabernet Franc,2008,New Jersey,Red
T,Chateau Haut-Brion,2004,France,Red
